Team1,Team2,Score1,Score2,Date/Time
Bulgaria,Greece,4,0,1994-06-26 12:30:00
United States,Romania,0,1,1994-06-26 16:00:00
Switzerland,Colombia,0,2,1994-06-26 16:00:00
Germany,South Korea,3,2,1994-06-27 16:00:00
Bolivia,Spain,1,3,1994-06-27 16:00:00
Ireland,Norway,0,0,1994-06-28 12:30:00
Brazil,Sweden,1,1,1994-06-28 16:00:00
Italy,Mexico,1,1,1994-06-28 12:30:00
Russia,Cameroon,6,1,1994-06-28 16:00:00
Morocco,Netherlands,1,2,1994-06-29 12:30:00
Belgium,Saudi Arabia,0,1,1994-06-29 12:30:00
Greece,Nigeria,0,2,1994-06-30 19:30:00
Argentina,Bulgaria,0,2,1994-06-30 19:30:00
Germany,Belgium,3,2,1994-07-02 12:00:00
Spain,Switzerland,3,0,1994-07-02 16:30:00
Saudi Arabia,Sweden,1,3,1994-07-03 12:00:00
Romania,Argentina,3,2,1994-07-03 13:30:00
Netherlands,Ireland,2,0,1994-07-04 12:00:00
Brazil,United States,1,0,1994-07-04 12:30:00
Nigeria,Italy,1,2,1994-07-05 13:00:00
Mexico,Bulgaria,1,1,1994-07-05 16:30:00
Italy,Spain,2,1,1994-07-09 12:00:00
Netherlands,Brazil,2,3,1994-07-09 14:30:00
Bulgaria,Germany,2,1,1994-07-10 12:00:00
Romania,Sweden,2,2,1994-07-10 12:30:00
Bulgaria,Italy,1,2,1994-07-13 16:00:00
Sweden,Brazil,0,1,1994-07-13 16:30:00
Sweden,Bulgaria,4,0,1994-07-16 12:30:00
Brazil,Italy,0,0,1994-07-17 12:30:00
Saudi Arabia,Germany,0,3,1998-02-22 13:30:00
Greece,Estonia,2,2,1999-12-18 00:00:00
Greece,Moldova,2,0,1999-12-16 00:00:00
South Africa,Sweden,1,0,1999-11-27 00:00:00
Colombia,Slovakia,1,0,1999-11-19 00:00:00
Greece,Bulgaria,1,0,1999-11-17 00:00:00
Morocco,United States,2,1,1999-11-17 00:00:00
Peru,Slovakia,2,1,1999-11-17 00:00:00
Spain,Argentina,0,2,1999-11-17 00:00:00
Uruguay,Paraguay,0,1,1999-11-17 00:00:00
Norway,Germany,0,1,1999-11-14 00:00:00
France,Croatia,3,0,1999-11-13 00:00:00
Italy,Belgium,1,3,1999-11-13 00:00:00
Netherlands,Czech Republic,1,1,1999-11-13 00:00:00
Spain,Brazil,0,0,1999-11-13 00:00:00
Denmark,Iran,0,0,1999-10-10 00:00:00
England,Belgium,2,1,1999-10-10 00:00:00
Netherlands,Brazil,2,2,1999-10-09 00:00:00
Uruguay,Venezuela,2,0,1999-09-08 00:00:00
Belgium,Morocco,4,0,1999-09-07 00:00:00
Brazil,Argentina,4,2,1999-09-07 00:00:00
Argentina,Brazil,2,0,1999-09-04 00:00:00
Netherlands,Belgium,5,5,1999-09-04 00:00:00
Belarus,Russia,0,2,1999-08-18 00:00:00
Belgium,Finland,3,4,1999-08-18 00:00:00
Cyprus,Romania,2,2,1999-08-18 00:00:00
Czech Republic,Switzerland,3,0,1999-08-18 00:00:00
Denmark,Netherlands,0,0,1999-08-18 00:00:00
Estonia,Armenia,2,0,1999-08-18 00:00:00
Greece,El Salvador,3,1,1999-08-18 00:00:00
Hungary,Moldova,1,1,1999-08-18 00:00:00
Liechtenstein,Bosnia and Herzegovina,0,0,1999-08-18 00:00:00
Northern Ireland,France,0,1,1999-08-18 00:00:00
Poland,Spain,1,2,1999-08-18 00:00:00
Portugal,Andorra,4,0,1999-08-18 00:00:00
Slovakia,Israel,1,0,1999-08-18 00:00:00
Sweden,Austria,0,0,1999-08-18 00:00:00
Ukraine,Bulgaria,1,1,1999-08-18 00:00:00
Brazil,Latvia,3,0,1999-06-26 00:00:00
Paraguay,Colombia,2,1,1999-06-24 00:00:00
Chile,Ecuador,0,0,1999-06-23 00:00:00
Peru,Venezuela,3,0,1999-06-23 00:00:00
Chile,Bolivia,1,0,1999-06-19 00:00:00
Colombia,Peru,3,3,1999-06-17 00:00:00
Paraguay,Uruguay,2,3,1999-06-17 00:00:00
Venezuela,Ecuador,3,2,1999-06-15 00:00:00
South Korea,Mexico,1,1,1999-06-12 19:00:00
Brazil,Netherlands,3,1,1999-06-08 00:00:00
Brazil,Netherlands,2,2,1999-06-05 00:00:00
South Korea,Belgium,1,2,1999-06-05 00:00:00
Ireland,Northern Ireland,0,1,1999-05-29 00:00:00
Sweden,Jamaica,2,1,1999-05-27 00:00:00
Norway,Jamaica,6,0,1999-05-20 00:00:00
Russia,Belarus,1,1,1999-05-19 00:00:00
Slovakia,Bulgaria,2,0,1999-05-19 00:00:00
Spain,Croatia,3,1,1999-05-05 00:00:00
Croatia,Italy,0,0,1999-04-28 00:00:00
Denmark,South Africa,1,1,1999-04-28 00:00:00
Germany,Scotland,0,1,1999-04-28 00:00:00
Greece,Switzerland,1,1,1999-04-28 00:00:00
Hungary,England,1,1,1999-04-28 00:00:00
Ireland,Sweden,2,0,1999-04-28 00:00:00
Netherlands,Morocco,1,2,1999-04-28 00:00:00
Poland,Czech Republic,2,1,1999-04-28 00:00:00
Romania,Belgium,1,0,1999-04-28 00:00:00
Slovenia,Finland,1,1,1999-04-28 00:00:00
Northern Ireland,Canada,1,1,1999-04-27 00:00:00
Japan,Brazil,0,2,1999-03-31 00:00:00
Netherlands,Argentina,1,1,1999-03-31 00:00:00
Belgium,Egypt,0,1,1999-03-30 00:00:00
South Korea,Brazil,1,0,1999-03-28 00:00:00
Belgium,Bulgaria,0,1,1999-03-27 00:00:00
Greece,Croatia,3,2,1999-03-10 00:00:00
Hungary,Bosnia and Herzegovina,1,1,1999-03-10 00:00:00
Romania,Israel,0,2,1999-03-10 00:00:00
Switzerland,Austria,2,4,1999-03-10 00:00:00
Bulgaria,Slovakia,2,0,1999-03-03 00:00:00
