Team1,Team2,Rounds,Stadium,City,Time,Day,Month,Year,Score1,Score2,Remarks
France,Switzerland,Group Phase,Gottlieb-Daimler-Stadion,Stuttgart,18:00,13,6,2006,0,0,
Brazil,Croatia,Group Phase,Olympiastadion,Berlin,21:00,13,6,2006,1,0,
Spain,Ukraine,Group Phase,Zentralstadion,Leipzig,15:00,14,6,2006,4,0,
Tunisia,Saudi Arabia,Group Phase,"FIFA World Cup Stadium, Munich",Munich,18:00,14,6,2006,2,2,
Germany,Poland,Group Phase,"FIFA World Cup Stadium, Dortmund",Dortmund,21:00,14,6,2006,1,0,
Ecuador,Costa Rica,Group Phase,"FIFA World Cup Stadium, Hamburg",Hamburg,15:00,15,6,2006,3,0,
England,Trinidad and Tobago,Group Phase,Franken-Stadion,Nuremberg,18:00,15,6,2006,2,0,
Sweden,Paraguay,Group Phase,Olympiastadion,Berlin,21:00,15,6,2006,1,0,
Argentina,Serbia and Montenegro,Group Phase,"FIFA World Cup Stadium, Gelsenkirchen",Gelsenkirchen,15:00,16,6,2006,6,0,
Netherlands,Côte d'Ivoire,Group Phase,Gottlieb-Daimler-Stadion,Stuttgart,18:00,16,6,2006,2,1,
Mexico,Angola,Group Phase,"FIFA World Cup Stadium, Hanover",Hanover,21:00,16,6,2006,0,0,
Portugal,IR Iran,Group Phase,"FIFA World Cup Stadium, Frankfurt",Frankfurt/Main,15:00,17,6,2006,2,0,
Czech Republic,Ghana,Group Phase,"FIFA World Cup Stadium, Cologne",Cologne,18:00,17,6,2006,0,2,
Italy,USA,Group Phase,Fritz-Walter-Stadion,Kaiserslautern,21:00,17,6,2006,1,1,
Japan,Croatia,Group Phase,Franken-Stadion,Nuremberg,15:00,18,6,2006,0,0,
Brazil,Australia,Group Phase,"FIFA World Cup Stadium, Munich",Munich,18:00,18,6,2006,2,0,
France,Korea Republic,Group Phase,Zentralstadion,Leipzig,21:00,18,6,2006,1,1,
Togo,Switzerland,Group Phase,"FIFA World Cup Stadium, Dortmund",Dortmund,15:00,19,6,2006,0,2,
Saudi Arabia,Ukraine,Group Phase,"FIFA World Cup Stadium, Hamburg",Hamburg,18:00,19,6,2006,0,4,
